
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
0             0x0             Microsoft executable, portable (PE)
147456        0x24000         CRC32 polynomial table, little endian
151552        0x25000         CRC32 polynomial table, big endian
155888        0x260F0         Copyright string: "Copyright 1995-2017 Mark Adler "
219768        0x35A78         PNG image, 256 x 256, 8-bit/color RGBA, non-interlaced
219809        0x35AA1         Zlib compressed data, best compression
274432        0x43000         Zlib compressed data, best compression
274601        0x430A9         Zlib compressed data, best compression
275737        0x43519         Zlib compressed data, best compression
280108        0x4462C         Zlib compressed data, best compression
287602        0x46372         Zlib compressed data, best compression
289421        0x46A8D         Zlib compressed data, best compression
289811        0x46C13         Zlib compressed data, best compression
290030        0x46CEE         Zlib compressed data, best compression
291123        0x47133         Zlib compressed data, best compression
292969        0x47869         Zlib compressed data, best compression
297329        0x48971         Zlib compressed data, best compression
303005        0x49F9D         Zlib compressed data, best compression
308486        0x4B506         Zlib compressed data, best compression
313636        0x4C924         Zlib compressed data, best compression
330367        0x50A7F         Zlib compressed data, best compression
336467        0x52253         Zlib compressed data, best compression
344337        0x54111         Zlib compressed data, best compression
354775        0x569D7         Zlib compressed data, best compression
370291        0x5A673         Zlib compressed data, best compression
374964        0x5B8B4         Zlib compressed data, best compression
380506        0x5CE5A         Zlib compressed data, best compression
386433        0x5E581         Zlib compressed data, best compression
403003        0x6263B         Zlib compressed data, best compression
419367        0x66627         Zlib compressed data, best compression
423399        0x675E7         Zlib compressed data, best compression
434417        0x6A0F1         Zlib compressed data, best compression
438133        0x6AF75         VMware4 disk image
441511        0x6BCA7         Zlib compressed data, best compression
446042        0x6CE5A         Zlib compressed data, best compression
452340        0x6E6F4         Zlib compressed data, best compression
458521        0x6FF19         Zlib compressed data, best compression
463895        0x71417         Zlib compressed data, best compression
469480        0x729E8         Zlib compressed data, best compression
476435        0x74513         Zlib compressed data, best compression
482123        0x75B4B         Zlib compressed data, best compression
490325        0x77B55         Zlib compressed data, best compression
500197        0x7A1E5         Zlib compressed data, best compression
510074        0x7C87A         Zlib compressed data, best compression
520825        0x7F279         Zlib compressed data, best compression
531843        0x81D83         Zlib compressed data, best compression
537036        0x831CC         Zlib compressed data, best compression
542206        0x845FE         Zlib compressed data, best compression
549101        0x860ED         Zlib compressed data, best compression
555454        0x879BE         Zlib compressed data, best compression
573571        0x8C083         Zlib compressed data, best compression
578433        0x8D381         Zlib compressed data, best compression
1203828       0x125E74        Zlib compressed data, best compression
1216052       0x128E34        Zlib compressed data, best compression
1237391       0x12E18F        Zlib compressed data, best compression
1246049       0x130361        Zlib compressed data, best compression
1250051       0x131303        Zlib compressed data, best compression
1254035       0x132293        Zlib compressed data, best compression
1254580       0x1324B4        Zlib compressed data, best compression
1307285       0x13F295        Zlib compressed data, best compression
1973503       0x1E1CFF        Zlib compressed data, best compression
2048448       0x1F41C0        Zlib compressed data, best compression
2098644       0x2005D4        Zlib compressed data, best compression
2797704       0x2AB088        Zlib compressed data, best compression
2812271       0x2AE96F        Zlib compressed data, best compression
2834385       0x2B3FD1        Zlib compressed data, best compression
3746346       0x392A2A        Zlib compressed data, best compression
3767052       0x397B0C        Zlib compressed data, best compression
3789131       0x39D14B        Zlib compressed data, best compression
3831819       0x3A780B        Zlib compressed data, best compression
3902839       0x3B8D77        Zlib compressed data, best compression
4123732       0x3EEC54        Zlib compressed data, best compression
4424641       0x4383C1        Zlib compressed data, best compression
4497656       0x44A0F8        Zlib compressed data, best compression
5947068       0x5ABEBC        Zlib compressed data, best compression
5952567       0x5AD437        Zlib compressed data, best compression
6541929       0x63D269        Zlib compressed data, best compression
7140057       0x6CF2D9        Zlib compressed data, best compression
7399080       0x70E6A8        Zlib compressed data, best compression
7399545       0x70E879        Zlib compressed data, best compression
7406132       0x710234        Zlib compressed data, best compression
7412635       0x711B9B        Zlib compressed data, best compression
7442902       0x7191D6        Zlib compressed data, best compression
7443201       0x719301        Zlib compressed data, best compression
7475161       0x720FD9        Zlib compressed data, best compression
7475712       0x721200        Zlib compressed data, best compression
7476250       0x72141A        Zlib compressed data, best compression
7476778       0x72162A        Zlib compressed data, best compression
7477308       0x72183C        Zlib compressed data, best compression
7477842       0x721A52        Zlib compressed data, best compression
7478367       0x721C5F        Zlib compressed data, best compression
7478920       0x721E88        Zlib compressed data, best compression
7479466       0x7220AA        Zlib compressed data, best compression
7480006       0x7222C6        Zlib compressed data, best compression
7480540       0x7224DC        Zlib compressed data, best compression
7481068       0x7226EC        Zlib compressed data, best compression
7481608       0x722908        Zlib compressed data, best compression
7482141       0x722B1D        Zlib compressed data, best compression
7482681       0x722D39        Zlib compressed data, best compression
7483228       0x722F5C        Zlib compressed data, best compression
7483764       0x723174        Zlib compressed data, best compression
7484296       0x723388        Zlib compressed data, best compression
7484833       0x7235A1        Zlib compressed data, best compression
7485359       0x7237AF        Zlib compressed data, best compression
7485895       0x7239C7        Zlib compressed data, best compression
7486436       0x723BE4        Zlib compressed data, best compression
7486970       0x723DFA        Zlib compressed data, best compression
7487506       0x724012        Zlib compressed data, best compression
7488038       0x724226        Zlib compressed data, best compression
7488557       0x72442D        Zlib compressed data, best compression
7506874       0x728BBA        Zlib compressed data, best compression
7558000       0x735370        Zlib compressed data, best compression
7598584       0x73F1F8        Zlib compressed data, best compression
7630090       0x746D0A        Zlib compressed data, best compression
7630618       0x746F1A        Zlib compressed data, best compression
7631116       0x74710C        Zlib compressed data, best compression
7649637       0x74B965        Zlib compressed data, best compression
7667053       0x74FD6D        Zlib compressed data, best compression
7687522       0x754D62        Zlib compressed data, best compression
7706137       0x759619        Zlib compressed data, best compression
7706583       0x7597D7        Zlib compressed data, best compression
7724796       0x75DEFC        Zlib compressed data, best compression
7743317       0x762755        Zlib compressed data, best compression
7743455       0x7627DF        Zlib compressed data, best compression
7743566       0x76284E        Zlib compressed data, best compression
7743717       0x7628E5        Zlib compressed data, best compression
7744229       0x762AE5        Zlib compressed data, best compression
7744766       0x762CFE        Zlib compressed data, best compression
7745300       0x762F14        Zlib compressed data, best compression
7745836       0x76312C        Zlib compressed data, best compression
7746358       0x763336        Zlib compressed data, best compression
7746899       0x763553        Zlib compressed data, best compression
7747437       0x76376D        Zlib compressed data, best compression
7747971       0x763983        Zlib compressed data, best compression
7748509       0x763B9D        Zlib compressed data, best compression
7749029       0x763DA5        Zlib compressed data, best compression
7749500       0x763F7C        Zlib compressed data, best compression
7750020       0x764184        Zlib compressed data, best compression
7750481       0x764351        Zlib compressed data, best compression
7750997       0x764555        Zlib compressed data, best compression
7751442       0x764712        Zlib compressed data, best compression
7768432       0x768970        Zlib compressed data, best compression
7782489       0x76C059        Zlib compressed data, best compression
7783024       0x76C270        Zlib compressed data, best compression
7783562       0x76C48A        Zlib compressed data, best compression
7803726       0x77134E        Zlib compressed data, best compression
7804277       0x771575        Zlib compressed data, best compression
7804835       0x7717A3        Zlib compressed data, best compression
7805389       0x7719CD        Zlib compressed data, best compression
7805925       0x771BE5        Zlib compressed data, best compression
7806467       0x771E03        Zlib compressed data, best compression
7807024       0x772030        Zlib compressed data, best compression
7824778       0x77658A        Zlib compressed data, best compression
7825335       0x7767B7        Zlib compressed data, best compression
7825893       0x7769E5        Zlib compressed data, best compression
7826437       0x776C05        Zlib compressed data, best compression
7826997       0x776E35        Zlib compressed data, best compression
7827551       0x77705F        Zlib compressed data, best compression
7844504       0x77B298        Zlib compressed data, best compression
7845064       0x77B4C8        Zlib compressed data, best compression
7845537       0x77B6A1        Zlib compressed data, best compression
7848030       0x77C05E        Zlib compressed data, best compression
7851075       0x77CC43        Zlib compressed data, best compression
7851493       0x77CDE5        Zlib compressed data, best compression
7859577       0x77ED79        Zlib compressed data, best compression
7859895       0x77EEB7        Zlib compressed data, best compression
7860054       0x77EF56        Zlib compressed data, best compression
7860499       0x77F113        Zlib compressed data, best compression
7860659       0x77F1B3        Zlib compressed data, best compression
7860996       0x77F304        Zlib compressed data, best compression
7861332       0x77F454        Zlib compressed data, best compression
7861673       0x77F5A9        Zlib compressed data, best compression
7862162       0x77F792        Zlib compressed data, best compression
7862607       0x77F94F        Zlib compressed data, best compression
7863016       0x77FAE8        Zlib compressed data, best compression
7863176       0x77FB88        Zlib compressed data, best compression
7863524       0x77FCE4        Zlib compressed data, best compression
7863925       0x77FE75        Zlib compressed data, best compression
7864284       0x77FFDC        Zlib compressed data, best compression
7864664       0x780158        Zlib compressed data, best compression
7864957       0x78027D        Zlib compressed data, best compression
7865333       0x7803F5        Zlib compressed data, best compression
7865825       0x7805E1        Zlib compressed data, best compression
7865993       0x780689        Zlib compressed data, best compression
7866164       0x780734        Zlib compressed data, best compression
7866323       0x7807D3        Zlib compressed data, best compression
7866488       0x780878        Zlib compressed data, best compression
7866647       0x780917        Zlib compressed data, best compression
7866816       0x7809C0        Zlib compressed data, best compression
7866974       0x780A5E        Zlib compressed data, best compression
7867136       0x780B00        Zlib compressed data, best compression
7867304       0x780BA8        Zlib compressed data, best compression
7867473       0x780C51        Zlib compressed data, best compression
7867632       0x780CF0        Zlib compressed data, best compression
7867789       0x780D8D        Zlib compressed data, best compression
7867948       0x780E2C        Zlib compressed data, best compression
7868335       0x780FAF        Zlib compressed data, best compression
7868704       0x781120        Zlib compressed data, best compression
7868856       0x7811B8        Zlib compressed data, best compression
7869015       0x781257        Zlib compressed data, best compression
7869174       0x7812F6        Zlib compressed data, best compression
7869333       0x781395        Zlib compressed data, best compression
7869492       0x781434        Zlib compressed data, best compression
7869651       0x7814D3        Zlib compressed data, best compression
7869810       0x781572        Zlib compressed data, best compression
7869969       0x781611        Zlib compressed data, best compression
7870128       0x7816B0        Zlib compressed data, best compression
7870287       0x78174F        Zlib compressed data, best compression
7870446       0x7817EE        Zlib compressed data, best compression
7870606       0x78188E        Zlib compressed data, best compression
7870765       0x78192D        Zlib compressed data, best compression
7870924       0x7819CC        Zlib compressed data, best compression
7871084       0x781A6C        Zlib compressed data, best compression
7871243       0x781B0B        Zlib compressed data, best compression
7871403       0x781BAB        Zlib compressed data, best compression
7871562       0x781C4A        Zlib compressed data, best compression
7871938       0x781DC2        Zlib compressed data, best compression
7872231       0x781EE7        Zlib compressed data, best compression
7872396       0x781F8C        Zlib compressed data, best compression
7872775       0x782107        Zlib compressed data, best compression
7873223       0x7822C7        Zlib compressed data, best compression
7873421       0x78238D        Zlib compressed data, best compression
7873791       0x7824FF        Zlib compressed data, best compression
7874115       0x782643        Zlib compressed data, best compression
7874273       0x7826E1        Zlib compressed data, best compression
7874639       0x78284F        Zlib compressed data, best compression
7874798       0x7828EE        Zlib compressed data, best compression
7874957       0x78298D        Zlib compressed data, best compression
7875117       0x782A2D        Zlib compressed data, best compression
7875475       0x782B93        Zlib compressed data, best compression
7875634       0x782C32        Zlib compressed data, best compression
7875946       0x782D6A        Zlib compressed data, best compression
7876104       0x782E08        Zlib compressed data, best compression
7876425       0x782F49        Zlib compressed data, best compression
